Step,NextStep,PlantName,,Common Name - Genus epithet - Family
131,NA,Lindera,,
132,NA,Betula,,
132,NA,Prunus,,
133,NA,Rosa,,
133,134,NA,,
134,135,NA,,
134,136,NA,,
135,NA,Betula,,
135,NA,Pyrus,,
136,NA,Amelanchier,,
136,137,NA,,
137,NA,Betula,,
137,138,NA,,
138,NA,Sorbus,,
138,139,NA,,
139,NA,Aronia,,
139,NA,Prunus,,
140,NA,Platanus,,
140,141,NA,,
141,142,NA,,
141,144,NA,,
142,NA,Rhus,,
142,143,NA,,
143,NA,Dirca,,
143,NA,Cladrastis,,
144,NA,Ptelea,,
144,NA,Robinia,,
145,146,NA,,
145,147,NA,,
146,NA,Juglans,,
146,NA, Celtis,,
147,148,NA,,
147,149,NA,,
148,NA,Asimina,,
148,NA,Nyssa,,
149,NA,Asimina,,
149,150,NA,,
150,NA,Gymnocladus,,
150,151,NA,,
151,NA,Liquidambar,,
151,152,NA,,
152,153,NA,,
152,154,NA,,
153,NA,Rhus,,
153,NA,Morus,,
154,NA,Liquidambar,,
154,155,NA,,
155,NA,Populus,,
155,156,NA,,
156,NA,Comptonia,,
156,157,NA,,
157,158,NA,,
157,159,NA,,
158,NA,Betula,,
158,NA,Myrica,,
159,160,NA,,
159,164,NA,,
160,NA,Fagus,,
160,161,NA,,
161,162,NA,,
161,163,NA,,
162,NA,Hamamelis,,
162,NA,Cercis,,
163,NA,Lindera,,
163,NA,Alnus,,
164,165,NA,,
164,167,NA,,
165,166,NA,,
165,NA,Alnus,,
166,NA,Corylus,,
166,NA,Betula,,
167,168,NA,,
167,170,NA,,
168,NA,Cercis,,
168,169,NA,,
169,NA,Physocarpus,,
169,NA,Prunus,,
170,NA,Fagus,,
170,171,NA,,
171,NA,Ailanthus,,
171,172,NA,,
172,173,NA,,
172,176,NA,,
173,174,NA,,
173,175,NA,,
174,NA,Prunus,,
174,NA,Rhamnus  ,,
175,NA,Celtis,,
175,NA,Cornus  ,,
176,NA,Liquidambar,,
176,177,NA,,
177,178,NA,,
177,182,NA,,
178,Ulmus,NA,,
178,179,NA,,
179,NA,Ostrya,,
179,180,NA,,
180,NA,Tilia,,
180,181,NA,,
181,NA,Corylus,,
181,NA,Carpinus,,
182,NA,Cornus,,
182,183,NA,,
183,184,NA,,
183,186,NA,,
184,NA,Sassafras,,
184,185,NA,,
185,NA,Sorbus,,
185,NA,Pyrularia,,
186,187,NA,,
186,NA,Betula,,
187,188,NA,,
187,189,NA,,
188,NA,Prunus,,
188,NA,Rhamnus  ,,
189,NA,Rhamnus  ,,
189,190,NA,,
190,NA,Prunus,,
190,NA,Crataegus,,
191,192,NA,,
191,195,NA,,
192,193,NA,,
192,194,NA,,
193,NA,Fagus,,
193,NA,Magnolia,,
194,NA,Liriodendron,,
194,NA,Ulmus,,
195,196,NA,,
195,197,NA,,
196,NA,Juglans,,
196,NA,Carya,,
197,198,NA,,
197,208,NA,,
198,NA,Ampelopsis,,
198,199,NA,,
199,200,NA,,
199,203,NA,,
200,201,NA,,
200,NA,Rhus,,
201,NA,Broussonetia  ,,
201,202,NA,,
202,NA,Morus,,
202,NA,Maclura,,
203,204,NA,,
203,205,NA,,
204,NA,Quercus,,
204,NA,Castanea,,
205,206,NA,,
205,NA,Hibiscus,,
206,NA,Tilia,,
206,207,NA,,
207,NA,Pyrularia,,
207,NA,Corylus,,
208,NA,Larix,,
208,209,NA,,
209,210,NA,,
209,212,NA,,
210,NA,Diospyros,,
210,211,NA,,
211,NA,Celtis,,
211,NA,Halesia,,
212,213,NA,,
212,215,NA,,
213,NA,Sassafras,,
213,214,NA,,
214,NA,Rhamnus  ,,
214,NA,Ilex,,
215,217,NA,,
215,216,NA,,
216,NA,Cytisus,,
216,218,NA,,
217,NA,Potentilla,,
217,NA,Spiraea,,
218,NA,Diospyros,,
218,219,NA,,
219,220,NA,,
219,225,NA,,
220,NA,Sassafras,,
220,221,NA,,
221,222,NA,,
221,223,NA,,
222,NA,Oxydendrum,,
222,NA,Lyonia,,
223,NA,Clethra,,
223,224,,,
224,NA,Menziesia,,
224,NA,Rhodedendron,,
225,226,NA,,
225,227,NA,,
226,NA,Ceanothus,,
226,NA,Sassafras,,
227,228,NA,,
227,229,NA,,
228,NA,Ilex,,
228,NA,Spiraea,,
229,NA,Nemopanthus,,
229,230,NA,,
230,231,NA,,
230,234,NA,,
231,NA,Lyonia,,
231,232,NA,,
232,NA,Elaegnus,,
232,233,NA,,
233,NA,Vaccinium,,
233,NA,Gaylussacia,,
234,NA,Vaccinium,,
234,235,NA,,
235,NA,Oxydendrum,,
235,NA,Leucothoe,,
